,element,full
0,None,Doctype        
1,html,"Tag     Login | Salesforcehtml{visibility: hidden;}a{color:#0070d2;}body{background-color:#F4F6F9;}#content,.container{background-color:#ffffff;}#header{color:#16325c;}body{display: table; width:100%;}#content{margin-bottom:24px;}#wrap{height:100%;} html { visibility: hidden; } if (self == top) {document.documentElement.style.visibility = 'visible';} else {document.write = ''; top.location = self.location; setTimeout(function(){document.body.innerHTML='';}, 1);window.self.onload=function(evt){document.body.innerHTML='';};}var SFDCSessionVars={""server"":""https:\/\/test.salesforce.com\/login\/sessionserver212.html"",""im"":false,""ah"":""active"",""save"":""Save"",""saveOne"":""Save 1 Change"",""sum"":""#p# Saved Usernames"",""iaac"":false,""hac"":""Choose a Username"",""suo"":""1 Saved Username"",""title"":"" | Salesforce"",""saveMany"":""Save #p# Changes"",""lpt"":""Login"",""lllbl"":""Lightning Login"",""host"":""test.salesforce.com"",""le"":false,""heu"":""Edit Username List"",""ic"":false,""lh"":false,""hidp"":""Log In Using"",""ih"":""inactive"",""dc"":""Username removed. Click Save to Commit Changes.""};LoginHint.hideLoginForm();Edit ListSaveCancel


















UsernamePassword Caps Lock is on.Remember meForgot Your Password?Use Custom DomainTo go to your company's login page, enter the custom domain name.Custom Domainhttps://domain.my.salesforce.comContinueBackLog In with a Different Username© 2018 salesforce.com, inc. All rights reserved. | PrivacyLoginLoginHint.getSavedIdentities(false);function handleLogin(){document.login.un.value=document.login.username.value;document.login.width.value=screen.width;document.login.height.value=screen.height;}function lazyload(){document.getElementById(""pwcapsicon"").src=""/img/icon/capslock_blue.png"";document.getElementById(""marketing"").src=""https://c.salesforce.com/login-messages/promos.html"";}loader(); /html"
2,head,"Tag     Login | Salesforcehtml{visibility: hidden;}a{color:#0070d2;}body{background-color:#F4F6F9;}#content,.container{background-color:#ffffff;}#header{color:#16325c;}body{display: table; width:100%;}#content{margin-bottom:24px;}#wrap{height:100%;} html { visibility: hidden; } if (self == top) {document.documentElement.style.visibility = 'visible';} else {document.write = ''; top.location = self.location; setTimeout(function(){document.body.innerHTML='';}, 1);window.self.onload=function(evt){document.body.innerHTML='';};}var SFDCSessionVars={""server"":""https:\/\/test.salesforce.com\/login\/sessionserver212.html"",""im"":false,""ah"":""active"",""save"":""Save"",""saveOne"":""Save 1 Change"",""sum"":""#p# Saved Usernames"",""iaac"":false,""hac"":""Choose a Username"",""suo"":""1 Saved Username"",""title"":"" | Salesforce"",""saveMany"":""Save #p# Changes"",""lpt"":""Login"",""lllbl"":""Lightning Login"",""host"":""test.salesforce.com"",""le"":false,""heu"":""Edit Username List"",""ic"":false,""lh"":false,""hidp"":""Log In Using"",""ih"":""inactive"",""dc"":""Username removed. Click Save to Commit Changes.""};LoginHint.hideLoginForm(); /html/head"
3,meta,Tag       /html/head/meta
4,meta,Tag       /html/head/meta[2]
5,title,Tag     Login | Salesforce /html/head/title
6,None,NavigableString        
7,meta,Tag       /html/head/meta[3]
8,link,Tag       /html/head/link
9,style,"Tag     html{visibility: hidden;}a{color:#0070d2;}body{background-color:#F4F6F9;}#content,.container{background-color:#ffffff;}#header{color:#16325c;}body{display: table; width:100%;}#content{margin-bottom:24px;}#wrap{height:100%;} /html/head/style"
10,None,NavigableString        
11,style,Tag      html { visibility: hidden; }  /html/head/style[2]
12,None,NavigableString        
13,script,"Tag     if (self == top) {document.documentElement.style.visibility = 'visible';} else {document.write = ''; top.location = self.location; setTimeout(function(){document.body.innerHTML='';}, 1);window.self.onload=function(evt){document.body.innerHTML='';};} /html/head/script"
14,None,NavigableString        
15,script,"Tag     var SFDCSessionVars={""server"":""https:\/\/test.salesforce.com\/login\/sessionserver212.html"",""im"":false,""ah"":""active"",""save"":""Save"",""saveOne"":""Save 1 Change"",""sum"":""#p# Saved Usernames"",""iaac"":false,""hac"":""Choose a Username"",""suo"":""1 Saved Username"",""title"":"" | Salesforce"",""saveMany"":""Save #p# Changes"",""lpt"":""Login"",""lllbl"":""Lightning Login"",""host"":""test.salesforce.com"",""le"":false,""heu"":""Edit Username List"",""ic"":false,""lh"":false,""hidp"":""Log In Using"",""ih"":""inactive"",""dc"":""Username removed. Click Save to Commit Changes.""}; /html/head/script[2]"
16,None,NavigableString        
17,script,Tag       /html/head/script[3]
18,script,Tag       /html/head/script[4]
19,script,Tag     LoginHint.hideLoginForm(); /html/head/script[5]
20,None,NavigableString        
21,link,Tag       /html/head/link[2]
22,link,Tag       /html/head/link[3]
23,link,Tag       /html/head/link[4]
24,link,Tag       /html/head/link[5]
25,link,Tag       /html/head/link[6]
26,link,Tag       /html/head/link[7]
27,link,Tag       /html/head/link[8]
28,link,Tag       /html/head/link[9]
29,link,Tag       /html/head/link[10]
30,link,Tag       /html/head/link[11]
31,link,Tag       /html/head/link[12]
32,link,Tag       /html/head/link[13]
33,link,Tag       /html/head/link[14]
34,link,Tag       /html/head/link[15]
35,link,Tag       /html/head/link[16]
36,link,Tag       /html/head/link[17]
37,link,Tag       /html/head/link[18]
38,link,Tag       /html/head/link[19]
39,link,Tag       /html/head/link[20]
40,link,Tag       /html/head/link[21]
41,link,Tag       /html/head/link[22]
42,link,Tag       /html/head/link[23]
43,link,Tag       /html/head/link[24]
44,link,Tag       /html/head/link[25]
45,link,Tag       /html/head/link[26]
46,body,"Tag     Edit ListSaveCancel


















UsernamePassword Caps Lock is on.Remember meForgot Your Password?Use Custom DomainTo go to your company's login page, enter the custom domain name.Custom Domainhttps://domain.my.salesforce.comContinueBackLog In with a Different Username© 2018 salesforce.com, inc. All rights reserved. | PrivacyLoginLoginHint.getSavedIdentities(false);function handleLogin(){document.login.un.value=document.login.username.value;document.login.width.value=screen.width;document.login.height.value=screen.height;}function lazyload(){document.getElementById(""pwcapsicon"").src=""/img/icon/capslock_blue.png"";document.getElementById(""marketing"").src=""https://c.salesforce.com/login-messages/promos.html"";}loader(); /html/body"
47,div,"Tag left pr Edit ListSaveCancel


















UsernamePassword Caps Lock is on.Remember meForgot Your Password?Use Custom DomainTo go to your company's login page, enter the custom domain name.Custom Domainhttps://domain.my.salesforce.comContinueBackLog In with a Different Username© 2018 salesforce.com, inc. All rights reserved. | Privacy /html/body/div"
48,div,"Tag wrap   Edit ListSaveCancel


















UsernamePassword Caps Lock is on.Remember meForgot Your Password?Use Custom DomainTo go to your company's login page, enter the custom domain name.Custom Domainhttps://domain.my.salesforce.comContinueBackLog In with a Different Username /html/body/div/div"
49,div,"Tag main   Edit ListSaveCancel


















UsernamePassword Caps Lock is on.Remember meForgot Your Password?Use Custom DomainTo go to your company's login page, enter the custom domain name.Custom Domainhttps://domain.my.salesforce.comContinueBackLog In with a Different Username /html/body/div/div/div"
50,div,"Tag wrapper   Edit ListSaveCancel


















UsernamePassword Caps Lock is on.Remember meForgot Your Password?Use Custom DomainTo go to your company's login page, enter the custom domain name.Custom Domainhttps://domain.my.salesforce.comContinueBackLog In with a Different Username /html/body/div/div/div/div"
51,div,Tag logo_wrapper standard_logo_wrapper  mb24   /html/body/div/div/div/div/div
52,h1,Tag       /html/body/div/div/div/div/div/h1
53,img,Tag logo standard_logo   /html/body/div/div/div/div/div/h1/img
54,h2,Tag header mb12   /html/body/div/div/div/div/h2
55,div,"Tag content   Edit ListSaveCancel


















UsernamePassword Caps Lock is on.Remember meForgot Your Password?Use Custom DomainTo go to your company's login page, enter the custom domain name.Custom Domainhttps://domain.my.salesforce.comContinueBack /html/body/div/div/div/div/div[2]"
56,div,Tag chooser   Edit List /html/body/div/div/div/div/div[2]/div
